title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,year_film,year_ceremony,ceremony,category,name,film,winner
The Front Page,101,6.7,2880,46,37,76,7,1,0,0,0,0,0,1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,FALSE
The Champ,121,6.8,8520,65,20,38,0,7,1,0,0,0,1,1931,1932,5,ACTOR,Wallace Beery,The Champ,TRUE
The Champ,121,6.8,8520,65,20,38,0,7,1,0,0,0,1,1931,1932,5,DIRECTING,King Vidor,The Champ,FALSE
The Champ,121,6.8,8520,65,20,38,0,7,1,0,0,0,1,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,FALSE
The Champ,121,6.8,8520,65,20,38,0,7,1,0,0,0,1,1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,TRUE
The Champ,121,6.8,8520,65,20,38,0,7,1,0,0,0,1,1979,1980,52,MUSIC (Original Score),Dave Grusin,The Champ,FALSE
Emma,120,6.6,38560,163,57,66,15,6,1,8.2,34,4,2,1931,1932,5,ACTRESS,Marie Dressler,Emma,FALSE
Emma,120,6.6,38560,163,57,66,15,6,1,8.2,34,4,2,1996,1997,69,COSTUME DESIGN,Ruth Myers,Emma,FALSE
Emma,120,6.6,38560,163,57,66,15,6,1,8.2,34,4,2,1996,1997,69,MUSIC (Original Musical or Comedy Score),Rachel Portman,Emma,TRUE
Shanghai Express,82,7.3,8666,73,56,83,15,0,0,0,1,0,0,1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,TRUE
Shanghai Express,82,7.3,8666,73,56,83,15,0,0,0,1,0,0,1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,FALSE
Shanghai Express,82,7.3,8666,73,56,83,15,0,0,0,1,0,0,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,FALSE
42nd Street,89,7.4,11756,129,71,83,8,1,0,0,1,0,0,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,FALSE
42nd Street,89,7.4,11756,129,71,83,8,1,0,0,1,0,0,1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",42nd Street,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1932,1933,6,DIRECTING,George Cukor,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,TRUE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1949,1950,22,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,TRUE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1949,1950,22,CINEMATOGRAPHY (Color),"Robert Planck, Charles Schoenbaum",Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1994,1995,67,ACTRESS IN A LEADING ROLE,Winona Ryder,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1994,1995,67,COSTUME DESIGN,Colleen Atwood,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,1994,1995,67,MUSIC (Original Score),Thomas Newman,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,2019,2020,92,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Florence Pugh,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,2019,2020,92,COSTUME DESIGN,Jacqueline Durran,Little Women,TRUE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,2019,2020,92,MUSIC (Original Score),Alexandre Desplat,Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,2019,2020,92,BEST PICTURE,"Amy Pascal, Producer",Little Women,FALSE
Little Women,115,7.2,7001,65,32,92,7,0,0,5.3,4,0,3,2019,2020,92,WRITING (Adapted Screenplay),Written for the screen by Greta Gerwig,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1932,1933,6,DIRECTING,George Cukor,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,TRUE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1949,1950,22,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,TRUE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1949,1950,22,CINEMATOGRAPHY (Color),"Robert Planck, Charles Schoenbaum",Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1994,1995,67,ACTRESS IN A LEADING ROLE,Winona Ryder,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1994,1995,67,COSTUME DESIGN,Colleen Atwood,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,1994,1995,67,MUSIC (Original Score),Thomas Newman,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,2019,2020,92,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Florence Pugh,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,2019,2020,92,COSTUME DESIGN,Jacqueline Durran,Little Women,TRUE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,2019,2020,92,MUSIC (Original Score),Alexandre Desplat,Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,2019,2020,92,BEST PICTURE,"Amy Pascal, Producer",Little Women,FALSE
Little Women,122,7.2,7416,75,13,61,3,2,0,0,0,2,1,2019,2020,92,WRITING (Adapted Screenplay),Written for the screen by Greta Gerwig,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1932,1933,6,DIRECTING,George Cukor,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,TRUE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1949,1950,22,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,TRUE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1949,1950,22,CINEMATOGRAPHY (Color),"Robert Planck, Charles Schoenbaum",Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1994,1995,67,ACTRESS IN A LEADING ROLE,Winona Ryder,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1994,1995,67,COSTUME DESIGN,Colleen Atwood,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,1994,1995,67,MUSIC (Original Score),Thomas Newman,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,2019,2020,92,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Florence Pugh,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,2019,2020,92,COSTUME DESIGN,Jacqueline Durran,Little Women,TRUE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,2019,2020,92,MUSIC (Original Score),Alexandre Desplat,Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,2019,2020,92,BEST PICTURE,"Amy Pascal, Producer",Little Women,FALSE
Little Women,115,7.3,57448,199,50,87,23,0,0,7.7,62,14,4,2019,2020,92,WRITING (Adapted Screenplay),Written for the screen by Greta Gerwig,Little Women,FALSE
Flying Down to Rio,89,6.6,3676,72,27,72,9,2,0,0,0,0,0,1934,1935,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,FALSE
It Happened One Night,105,8.1,101790,334,127,87,16,0,0,8.3,47,3,0,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,TRUE
It Happened One Night,105,8.1,101790,334,127,87,16,0,0,8.3,47,3,0,1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,TRUE
It Happened One Night,105,8.1,101790,334,127,87,16,0,0,8.3,47,3,0,1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,TRUE
It Happened One Night,105,8.1,101790,334,127,87,16,0,0,8.3,47,3,0,1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,TRUE
It Happened One Night,105,8.1,101790,334,127,87,16,0,0,8.3,47,3,0,1934,1935,7,WRITING (Adaptation),Robert Riskin,It Happened One Night,TRUE
The Thin Man,91,7.9,29128,167,82,86,16,0,0,7.7,6,0,1,1934,1935,7,ACTOR,William Powell,The Thin Man,FALSE
The Thin Man,91,7.9,29128,167,82,86,16,0,0,7.7,6,0,1,1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,FALSE
The Thin Man,91,7.9,29128,167,82,86,16,0,0,7.7,6,0,1,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,FALSE
The Thin Man,91,7.9,29128,167,82,86,16,0,0,7.7,6,0,1,1934,1935,7,WRITING (Adaptation),"Frances Goodrich, Albert Hackett",The Thin Man,FALSE
Men in Black,98,7.3,552034,383,164,71,15,7,0,8.7,576,57,7,1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,FALSE
Men in Black,98,7.3,552034,383,164,71,15,7,0,8.7,576,57,7,1997,1998,70,ART DIRECTION,Art Direction:  Bo Welch;  Set Decoration:  Cheryl Carasik,Men in Black,FALSE
Men in Black,98,7.3,552034,383,164,71,15,7,0,8.7,576,57,7,1997,1998,70,MAKEUP,"Rick Baker, David LeRoy Anderson",Men in Black,TRUE
Men in Black,98,7.3,552034,383,164,71,15,7,0,8.7,576,57,7,1997,1998,70,MUSIC (Original Musical or Comedy Score),Danny Elfman,Men in Black,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1934,1935,7,ASSISTANT DIRECTOR,Cullen Tate,Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1934,1935,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,TRUE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1934,1935,7,FILM EDITING,Anne Bauchens,Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1934,1935,7,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,ACTOR,Rex Harrison,Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,ART DIRECTION (Color),"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer",Cleopatra,TRUE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,CINEMATOGRAPHY (Color),Leon Shamroy,Cleopatra,TRUE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,COSTUME DESIGN (Color),"Irene Sharaff, Vittorio Nino Novarese, Renie",Cleopatra,TRUE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,FILM EDITING,Dorothy Spencer,Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,MUSIC (Music Score--substantially original),Alex North,Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,BEST PICTURE,"Walter Wanger, Producer",Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",Cleopatra,FALSE
Cleopatra,192,7,32548,253,88,60,7,5,2,7,12,7,1,1963,1964,36,SPECIAL EFFECTS,"Emil Kosa, Jr.",Cleopatra,TRUE
The Gay Divorcee,107,7.4,7783,73,45,80,11,1,0,0,1,1,0,1934,1935,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,FALSE
The Gay Divorcee,107,7.4,7783,73,45,80,11,1,0,0,1,1,0,1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,FALSE
The Gay Divorcee,107,7.4,7783,73,45,80,11,1,0,0,1,1,0,1934,1935,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,TRUE
The Gay Divorcee,107,7.4,7783,73,45,80,11,1,0,0,1,1,0,1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,FALSE
The Gay Divorcee,107,7.4,7783,73,45,80,11,1,0,0,1,1,0,1934,1935,7,SOUND RECORDING,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",The Gay Divorcee,FALSE
Imitation of Life,111,7.5,4700,108,33,72,7,0,0,0,1,1,0,1934,1935,7,ASSISTANT DIRECTOR,Scott Beal,Imitation of Life,FALSE
Imitation of Life,111,7.5,4700,108,33,72,7,0,0,0,1,1,0,1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,FALSE
Imitation of Life,111,7.5,4700,108,33,72,7,0,0,0,1,1,0,1934,1935,7,SOUND RECORDING,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",Imitation of Life,FALSE
Imitation of Life,111,7.5,4700,108,33,72,7,0,0,0,1,1,0,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Susan Kohner,Imitation of Life,FALSE
Imitation of Life,111,7.5,4700,108,33,72,7,0,0,0,1,1,0,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Juanita Moore,Imitation of Life,FALSE
Imitation of Life,125,7.8,16125,176,64,87,15,1,0,0,1,0,0,1934,1935,7,ASSISTANT DIRECTOR,Scott Beal,Imitation of Life,FALSE
Imitation of Life,125,7.8,16125,176,64,87,15,1,0,0,1,0,0,1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,FALSE
Imitation of Life,125,7.8,16125,176,64,87,15,1,0,0,1,0,0,1934,1935,7,SOUND RECORDING,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",Imitation of Life,FALSE
Imitation of Life,125,7.8,16125,176,64,87,15,1,0,0,1,0,0,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Susan Kohner,Imitation of Life,FALSE
Imitation of Life,125,7.8,16125,176,64,87,15,1,0,0,1,0,0,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Juanita Moore,Imitation of Life,FALSE
David Copperfield,130,7.4,4198,53,24,91,8,0,0,0,2,0,0,1935,1936,8,ASSISTANT DIRECTOR,Joseph Newman,David Copperfield,FALSE
David Copperfield,130,7.4,4198,53,24,91,8,0,0,0,2,0,0,1935,1936,8,FILM EDITING,Robert J. Kern,David Copperfield,FALSE
David Copperfield,130,7.4,4198,53,24,91,8,0,0,0,2,0,0,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,David Copperfield,FALSE
Roberta,106,7,3275,71,22,66,7,3,0,0,0,0,0,1935,1936,8,MUSIC (Song),Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh,Roberta,FALSE
The Informer,91,7.4,6407,62,40,65,5,2,1,0,0,0,0,1935,1936,8,ACTOR,Victor McLaglen,The Informer,TRUE
The Informer,91,7.4,6407,62,40,65,5,2,1,0,0,0,0,1935,1936,8,DIRECTING,John Ford,The Informer,TRUE
The Informer,91,7.4,6407,62,40,65,5,2,1,0,0,0,0,1935,1936,8,FILM EDITING,George Hively,The Informer,FALSE
The Informer,91,7.4,6407,62,40,65,5,2,1,0,0,0,0,1935,1936,8,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer,TRUE
The Informer,91,7.4,6407,62,40,65,5,2,1,0,0,0,0,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,The Informer,FALSE
The Informer,91,7.4,6407,62,40,65,5,2,1,0,0,0,0,1935,1936,8,WRITING (Screenplay),Dudley Nichols,The Informer,TRUE
Top Hat,101,7.7,18945,140,60,92,14,1,0,7,3,1,0,1935,1936,8,ART DIRECTION,"Van Nest Polglase, Carroll Clark",Top Hat,FALSE
Top Hat,101,7.7,18945,140,60,92,14,1,0,7,3,1,0,1935,1936,8,DANCE DIRECTION,Hermes Pan,Top Hat,FALSE
Top Hat,101,7.7,18945,140,60,92,14,1,0,7,3,1,0,1935,1936,8,MUSIC (Song),Music and Lyrics by Irving Berlin,Top Hat,FALSE
Top Hat,101,7.7,18945,140,60,92,14,1,0,7,3,1,0,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,Top Hat,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,DIRECTING,Frank Lloyd,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,FILM EDITING,Margaret Booth,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,MUSIC (Scoring),"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)",Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Mutiny on the Bounty,TRUE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1935,1936,8,WRITING (Screenplay),"Talbot Jennings, Jules Furthman, Carey Wilson",Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1962,1963,35,ART DIRECTION (Color),"Art Direction:  George W. Davis, J. McMillan Johnson;  Set Decoration:  Henry Grace, Hugh Hunt",Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1962,1963,35,CINEMATOGRAPHY (Color),Robert L. Surtees,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1962,1963,35,FILM EDITING,"John McSweeney, Jr.",Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1962,1963,35,MUSIC (Music Score--substantially original),Bronislau Kaper,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1962,1963,35,MUSIC (Song),Music by Bronislau Kaper; Lyrics by Paul Francis Webster,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1962,1963,35,BEST PICTURE,"Aaron Rosenberg, Producer",Mutiny on the Bounty,FALSE
Mutiny on the Bounty,132,7.7,22672,128,70,87,11,1,0,8.2,5,0,0,1962,1963,35,SPECIAL EFFECTS,Visual Effects by A. Arnold Gillespie; Audible Effects by Milo Lory,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,178,7.2,16118,112,39,48,2,5,0,7.5,2,2,0,1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,178,7.2,16118,112,39,48,2,5,0,7.5,2,2,0,1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,178,7.2,16118,112,39,48,2,5,0,7.5,2,2,0,1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,178,7.2,16118,112,39,48,2,5,0,7.5,2,2,0,1935,1936,8,DIRECTING,Frank Lloyd,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,178,7.2,16118,112,39,48,2,5,0,7.5,2,2,0,1935,1936,8,FILM EDITING,Margaret Booth,Mutiny on the Bounty,FALSE
Mutiny on the Bounty,178,7.2,16118,112,39,48,2,5,0,7.5,2,2,0,1935,1936,8,MUSIC (Scoring),"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)",Mutiny on the Bounty,FALSE
Mutiny on the Bounty,178,7.2,16118,112,39,48,2,5,0,7.5,2,2,0,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Mutiny on the Bounty,TRUE
